Descricao,Codigo,RET,Validade_RET,IA
Cobre Atar MZ,,,,Óxido Cuproso (inorgânico) 560g/kg
Cobre Fersol,,,,oxicloreto de cobre (inorgânico) 840g/kg
Collis,,,,cresoxim-metílico (estrobilurina) 100g.L⁻¹ + Boscalida (anilida) 200g.L⁻¹
Combine 500 SC,,,,tebutiurom (uréia) 500g.L⁻¹
Comet,,,,piraclostrobina (estrobilurina) 250g.L⁻¹
Commanche 200 EC,,,,cipermetrina (piretróide) 200g.L⁻¹ + cipermetrina (piretróide) 200g.L⁻¹
Commence,,,,clomazona (isoxazolidinona) 500g.L⁻¹ + clomazona (isoxazolidinona) 500g.L⁻¹
Completto,,,,fluazinam (fenilpiridinilamina) 250g.L⁻¹ + fluazinam (fenilpiridinilamina) 250g.L⁻¹
Concreto,,,,carbendazim (benzimidazol) 500g.L⁻¹ + carbendazim (benzimidazol) 500g.L⁻¹
Condor EC,,,,bromuconazol (triazol) 200g.L⁻¹ + bromuconazol (triazol) 200g.L⁻¹
Condor 200 SC,,,,bromuconazol (triazol) 200g.L⁻¹ + bromuconazol (triazol) 200g.L⁻¹
Confidence,,,,hexazinona (triazinona) 132g/kg + hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg + diurom (uréia) 468g/kg
Confidor Supra,,,,imidacloprido (neonicotinóide) 500g/kg + imidacloprido (neonicotinóide) 500g/kg + beta-ciflutrina (piretróide) 10g/kg + beta-ciflutrina (piretróide) 10g/kg
Connect,,,,imidacloprido (neonicotinóide) 100g.L⁻¹ + imidacloprido (neonicotinóide) 100g.L⁻¹ + beta-ciflutrina (piretróide) 12g.L⁻¹ + beta-ciflutrina (piretróide) 12g.L⁻¹
Conquest,,,,clorimurom-etílico (sulfoniluréia) 250g/kg + clorimurom-etílico (sulfoniluréia) 250g/kg
Consento,,,,fenamidona (imidazolinona) 75g.L⁻¹ + Cloridrato de propamocarbe (carbamato) 375g.L⁻¹ + Cloridrato de propamocarbe (carbamato) 375g.L⁻¹
Constant,,,,tebuconazol (triazol) 200g.L⁻¹ + tebuconazol (triazol) 200g.L⁻¹
Contact,,,,hidróxido de cobre (inorgânico) 691g/kg + hidróxido de cobre (inorgânico) 691g/kg
Contain,,,,imazapir (imidazolinona) 266g.L⁻¹ + imazapir (imidazolinona) 266g.L⁻¹
Contrap,,,,serricornim (cetona alifática) 914g.L⁻¹ + serricornim (cetona alifática) 914g.L⁻¹
Convence,,,,acetamiprido (neonicotinóide) 200g.L⁻¹ + acetamiprido (neonicotinóide) 200g.L⁻¹
Copros,,,,clorantraniliprole (antranilamida) 45g.L⁻¹ + abamectina (avermectina) 18g.L⁻¹ + abamectina (avermectina) 18g.L⁻¹
Copsuper,,,,oxicloreto de cobre (inorgânico) 588g/kg + oxicloreto de cobre (inorgânico) 588g/kg
Coragen,,,,clorantraniliprole (antranilamida) 200g.L⁻¹ + clorantraniliprole (antranilamida) 200g.L⁻¹
Coral,,,,lactofem (éter difenílico) 240g.L⁻¹ + lactofem (éter difenílico) 240g.L⁻¹
Corbel,,,,fenpropimorfe (morfolina) 750g.L⁻¹ + fenpropimorfe (morfolina) 750g.L⁻¹
Cordial 100,,,,piriproxifem (éter piridiloxipropílico) 100g.L⁻¹ + piriproxifem (éter piridiloxipropílico) 100g.L⁻¹
Concreto,,,,carbendazim (benzimidazol) 500g.L⁻¹ + carbendazim (benzimidazol) 500g.L⁻¹
Concreto,,,,carbendazim (benzimidazol) 500g.L⁻¹ + carbendazim (benzimidazol) 500g.L⁻¹
Convence,,,,acetamiprido (neonicotinóide) 200g.L⁻¹ + acetamiprido (neonicotinóide) 200g.L⁻¹
Coral,,,,lactofem (éter difenílico) 240g.L⁻¹ + lactofem (éter difenílico) 240g.L⁻¹
Coral,,,,lactofem (éter difenílico) 240g.L⁻¹ + lactofem (éter difenílico) 240g.L⁻¹
Coronelbr,,,,metribuzim (triazinona) 480g.L⁻¹
Costar,,,,novalurom (benzoiluréia) 100g.L⁻¹ + Bacillus thuringiensis (biológico) 850g/kg
Cotésia Auca,,,,"Cotesia flavipes (Cameron,1891) (biológico) 1500vespas"
CottonQuik,,,,etefom (etileno (precursor de)) 273g.L⁻¹
Counter 150 G,,,,terbufós (organofosforado) 150g/kg
Cover DF,,,,enxofre (inorgânico) 800g/kg
Coyote WG,,,,atrazina (triazina) 900g/kg
Crater,,,,"picloram (ácido piridinocarboxílico) 76g.L⁻¹ + 2,4-D (ácido ariloxialcanóico) 289g.L⁻¹"
Crescendo,,,,
Cropstar,,,,tiodicarbe (metilcarbamato de oxima) 450g.L⁻¹ + imidacloprido (neonicotinóide) 150g.L⁻¹
Crucial,,,,
Cruiser Advanced,,,,tiametoxam (neonicotinóide) 350g.L⁻¹ + tiabendazol (benzimidazol) 150g.L⁻¹ + metalaxil-M (acilalaninato) 20g.L⁻¹ + fludioxonil (fenilpirrol) 25g.L⁻¹
Cruiser Opti,,,,tiametoxam (neonicotinóide) 210g.L⁻¹ + lambda-cialotrina (piretróide) 37g.L⁻¹
Cruiser 350 FS,,,,tiametoxam (neonicotinóide) 350g.L⁻¹
Cruiser 700 WS,,,,tiametoxam (neonicotinóide) 700g/kg
Cultar 250 SC,,,,paclobutrazol (triazol) 250g.L⁻¹
Cultifix,,,,imazapir (imidazolinona) 480g.L⁻¹
Cupravit Azul BR,,,,oxicloreto de cobre (inorgânico) 588g/kg
Cupravit Verde,,,,oxicloreto de cobre (inorgânico) 870g/kg
Cuprodil WG,,,,oxicloreto de cobre (inorgânico) 420g/kg + clorotalonil 720 400g/kg
Cuprogarb 350,,,,oxicloreto de cobre (inorgânico) 588g/kg
Cuprogarb 500,,,,oxicloreto de cobre (inorgânico) 840g/kg
Cuprozeb,,,,oxicloreto de cobre (inorgânico) 300g/kg + mancozebe (alquilenobis(ditiocarbamato)) 440g/kg
Cupuran 350 PM,,,,oxicloreto de cobre (inorgânico) 588g/kg
Cupuran 500 PM,,,,oxicloreto de cobre (inorgânico) 840g/kg
CUP001,,,,oxicloreto de cobre (inorgânico) 840g/kg
Curathane,,,,cimoxanil (acetamida) mancozebe 80g/kg + (alquilenobis(ditiocarbamato)) 640g/kg
Curathane,,,,cimoxanil (acetamida) mancozebe 80g/kg + (alquilenobis(ditiocarbamato)) 640g/kg
Curathane SC,,,,mancozebe (alquilenobis(ditiocarbamato)) 462g.L⁻¹ + cimoxanil (acetamida) 63g.L⁻¹
Curavial,,,,sulfometurom-metílico (sulfoniluréia) 750g/kg
Curbix 200 SC,,,,Etiprole (Fenilpirazol) 200g.L⁻¹
Curinga,,,,clorpirifós (organofosforado) 480g.L⁻¹
Curyom 550 EC,,,,profenofós (organofosforado) 500g.L⁻¹ + lufenurom (benzoiluréia) 50g.L⁻¹
Curzate,,,,mancozebe (alquilenobis(ditiocarbamato)) 640g/kg + cimoxanil (acetamida) 80g/kg
Cyborg,,,,imidacloprido (neonicotinóide) 165g.L⁻¹ + bifentrina (piretróide) 135g.L⁻¹
Cyborg,,,,imidacloprido (neonicotinóide) 165g.L⁻¹ + bifentrina (piretróide) 135g.L⁻¹
Cyper Copa 250 Ec,,,,cipermetrina (piretróide) 250g.L⁻¹
Cypress 400 EC,,,,difenoconazol (triazol) 250g.L⁻¹ + ciproconazol (triazol) 150g.L⁻¹
Cyptrin Prime,,,,cipermetrina (piretróide) 250g.L⁻¹
Cyptrin 250 CE,,,,cipermetrina (piretróide) 250g.L⁻¹
Czar,,,,carbendazim (benzimidazol) 500g.L⁻¹
Dacobre WP,,,,oxicloreto de cobre (inorgânico) 504g/kg + clorotalonil 720 250g/kg
Daconil BR,,,,clorotalonil 720 750g/kg
Daconil WG,,,,clorotalonil 720 825g/kg
Daconil 500,,,,clorotalonil 720 500g.L⁻¹
Dacostar WG,,,,clorotalonil 720 825g/kg
Dacostar 500,,,,clorotalonil 720 500g.L⁻¹
Dacostar 750,,,,clorotalonil 720 750g/kg
DalNeem EC,,,,azadiractina (Tetranortriterpenóide) 850ml/litro
Danado,,,,picloram (ácido piridinocarboxílico) 388g.L⁻¹
Danado,,,,picloram (ácido piridinocarboxílico) 388g.L⁻¹
Danimen 300 EC,,,,fenpropatrina (piretróide) 300g.L⁻¹
Decis Ultra 100 EC,,,,deltametrina (piretróide) 100g.L⁻¹
Decis 200 SC,,,,deltametrina (piretróide) 200g.L⁻¹
Decis 25 EC,,,,deltametrina (piretróide) 25g.L⁻¹
Decorum,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Defend WDG,,,,enxofre (inorgânico) 800g/kg
Degesch - Magphos,,,,
Degesch Fumicel,,,,
Degesch-Fumistrip,,,,
Delan,,,,ditianona (quinona) 750g/kg
Delegate,,,,Espinetoram (espinosinas) 250g/kg
Delsene SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Delsene WG,,,,carbendazim (benzimidazol) 750g/kg
Demolidorbr,,,,hexazinona (triazinona) 142g/kg + diurom (uréia) 488g/kg
Deoro,,,,flumetralina (dinitroanilina) 125g.L⁻¹
Dermacor,,,,clorantraniliprole (antranilamida) 625g.L⁻¹
Derosal Plus,,,,tiram (dimetilditiocarbamato) 350g.L⁻¹ + carbendazim (benzimidazol) 150g.L⁻¹
Derosal 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Derox,,,,carbendazim (benzimidazol) 500g.L⁻¹
Dessecan,,,,MSMA (organoarsênico) 480g.L⁻¹
Dessicash,,,,Dibrometo de diquate (bipiridílio) 200g.L⁻¹
Destaque,,,,hexazinona (triazinona) 250g.L⁻¹
Detia GAS-EX-B,,,,
Detia GAS-EX-T,,,,
Dez,,,,"2,4-D (ácido ariloxialcanóico) 806g.L⁻¹"
Diafuran 50,,,,carbofurano (metilcarbamato de benzofuranila) 50g/kg
Diafuran 50,,,,carbofurano (metilcarbamato de benzofuranila) 50g/kg
Diamantebr,,,, imidacloprido (neonicotinóide) 480g.L⁻¹
Diazol 600 EC,,,,diazinona (organofosforado) 600g.L⁻¹
Dicarzol 500 SP,,,,
Dicofol Agripec CE,,,,dicofol (organoclorado) 185g.L⁻¹
Difenohelm,,,,difenoconazol (triazol) 250g.L⁻¹
Difere,,,,oxicloreto de cobre ( inorgânico ) 588g.L⁻¹
Differ,,,,imazetapir (imidazolinona) 700g/kg
Diflubenzuron AGP 480 SC,,,,diflubenzurom (benzoiluréia) 480g.L⁻¹
Diflubenzuron 240 SC Helm,,,,diflubenzurom (benzoiluréia) 240g.L⁻¹
Difluchem 240 SC,,,,diflubenzurom (benzoiluréia) 240g.L⁻¹
Dihex,,,,hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg
Dimax 480 SC,,,,diflubenzurom (benzoiluréia) 480g.L⁻¹
Dimetoato EC    ,,,,dimetoato (organofosforado) 400g.L⁻¹
Dimetoato 500 EC Nortox,,,,dimetoato (organofosforado) 500g.L⁻¹
Dimexion,,,,dimetoato (organofosforado) 400g.L⁻¹
Dimexion,,,,dimetoato (organofosforado) 400g.L⁻¹
Dimilin,,,,diflubenzurom (benzoiluréia) 250g/kg
Dimilin 80 WG,,,,diflubenzurom (benzoiluréia) 800g/kg
Dinamaz WG,,,,imazetapir (imidazolinona) 700g/kg
Dinamaz 70 WG,,,,imazetapir (imidazolinona) 700g/kg
Dinamic,,,,amicarbazona (triazolinona) 700g/kg
Dinaxine,,,,"2,4-D amina (ácido ariloxialcanóico) 806g.L⁻¹"
Diox,,,,diurom (uréia) 500g.L⁻¹
Dipel,,,,Bacillus thuringiensis (biológico) 33g.L⁻¹
Dipel WG,,,,Bacillus thuringiensis (biológico) 540g/kg
Dipel WP,,,,Bacillus thuringiensis (biológico) 32g/kg
Diplomata K,,,,Baculovirus (Virus HaNPV) 6g.L⁻¹
Diquash 200 SL,,,,Dibrometo de diquate (bipiridílio) 200g.L⁻¹
Direct,,,,glifosato-sal de amônio (glicina substituída) 792g/kg
Direx 500 SC,,,,diurom (uréia) 500g.L⁻¹
Discover 500 WP,,,,hexazinona (triazinona) 100g/kg + clomazona (isoxazolidinona) 400g/kg
Disparo,,,,"picloram (ácido piridinocarboxílico) 27g.L⁻¹ + 2,4-D-dimetilamina (ácido ariloxialcanóico) 437g.L⁻¹"
Dithane NT,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Dithane NT WG,,,,mancozebe (alquilenobis(ditiocarbamato)) 750g/kg
Dithane WG NT,,,,mancozebe (alquilenobis(ditiocarbamato)) 750g/kg
Dithiobin 780 WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 640g/kg
Diurex Agricur 500 SC,,,,diurom (uréia) 500g.L⁻¹
Diurex Agricur 800 SC,,,,diurom (uréia) 800g.L⁻¹
Diurex WG,,,,diurom (uréia) 900g/kg
Diuron Fersol 500 SC,,,,diurom (uréia) 500g.L⁻¹
Diuron Milenia WG,,,,diurom (uréia) 900g/kg
Diuron Nortox,,,,diurom (uréia) 800g/kg
Diuron Nortox 500 SC,,,,diurom (uréia) 500g.L⁻¹
Diuron 500 Agritec,,,,diurom (uréia) 500g.L⁻¹
Diuron 500 SC Milenia,,,,diurom (uréia) 500g.L⁻¹
Diuron 80 Volagro,,,,diurom (uréia) 800g/kg
Diuron 80 Volcano,,,,diurom (uréia) 800g/kg
Dizone,,,,hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg
DMA 806 BR,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Doble,,,,bentazona (benzotiadiazinona) 300g.L⁻¹ + Acifluorfem-sódico (éter difenílico) 80g.L⁻¹
Dociar,,,,"2,4-D amina (ácido ariloxialcanóico) 806g.L⁻¹"
Dodex 450 SC,,,,dodina (guanidina) 450g.L⁻¹
Domark Excell,,,,tetraconazol (triazol) 80g.L⁻¹ + azoxistrobina (estrobilurina) 100g.L⁻¹
Domark 100 EC,,,,tetraconazol (triazol) 100g.L⁻¹
Dominador,,,,deltametrina (piretróide) 50g.L⁻¹
Dominum,,,,Aminopiralide (ácido piridiniloxialcanóico) 40g.L⁻¹
Dontor,,,,"picloram (ácido piridinocarboxílico) 27g.L⁻¹ + 2,4-D (ácido ariloxialcanóico) 433g.L⁻¹"
Dorado,,,,
Dorado EC,,,,
Dormex,,,,cianamida (carbimida) 520g.L⁻¹
Drible,,,,lactofem (éter difenílico) 240g.L⁻¹
Driver,,,,Cloreto de Mepiquate (amônio quaternário) 50g.L⁻¹
Dropp Ultra SC,,,,tidiazurom (uréia) 120g.L⁻¹ + diurom (uréia) 60g.L⁻¹
Druid 750 WG,,,,hexazinona (triazinona) 750g.L⁻¹
Du Dim 80 WG,,,,diflubenzurom (benzoiluréia) 800g/kg
Du Din,,,,diflubenzurom (benzoiluréia) 250g.L⁻¹
Dual Gold,,,,metolacloro (cloroacetanilida) 960g.L⁻¹
Dual Gold 915 EC,,,,S-metolacloro (cloroacetanilida) 960g.L⁻¹
Ducat,,,,beta-ciflutrina (piretróide) 50g.L⁻¹
Duetto WG,,,,clorotalonil 720 750g/kg + cimoxanil (acetamida) 100g/kg
Durivo,,,,tiametoxam (neonicotinóide) 200g.L⁻¹ + clorantraniliprole (antranilamida) 100g.L⁻¹
Dynasty,,,,metalaxil-M (acilalaninato) 37g.L⁻¹ + fludioxonil (fenilpirrol) 12g.L⁻¹ + azoxistrobina (estrobilurina) 75g.L⁻¹
Dytrol,,,,óleo mineral (hidrocarbonetos alifáticos) 756g.L⁻¹
Echo,,,,clorotalonil 720 720g.L⁻¹
Echo WG,,,,clorotalonil 720 850g/kg
Eco Meta,,,,Metarhizium anisopliae(biológico) 50g/kg
Ecotésia,,,,"Cotesia flavipes (Cameron,1891) (biológico) 750vespas"
Ecotrich WP,,,,Trichoderma harzianum (biológico) 300g/kg
Effort,,,,Benzovindiflupyr (pirazol carboxamida) 150g/kg + azoxistrobina (estrobilurina) 300g/kg
Eforia,,,,tiametoxam (neonicotinóide) 141g.L⁻¹ + lambda-cialotrina (piretróide) 106g.L⁻¹
Egan,,,,tebuconazol (triazol) 200g.L⁻¹
Elatus,,,,Benzovindiflupyr (pirazol carboxamida) 150g/kg + Bacillus thuringiensis (biológico) 190g.L⁻¹ + azoxistrobina (estrobilurina) 300g/kg
Elbom,,,,acetamiprido (neonicotinóide) 200g/kg
Eleve,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Elite,,,,tebuconazol (triazol) 200g.L⁻¹
Ellect,,,,hidróxido de cobre (inorgânico) 691g/kg
Elsan,,,,fentoato (organofosforado) 500g.L⁻¹
Eltra 400 SC,,,,
Emerald,,,,tetraconazol (triazol) 125g.L⁻¹
Eminent Excell,,,,tetraconazol (triazol) 80g.L⁻¹ + azoxistrobina (estrobilurina) 100g.L⁻¹
Eminent Gold,,,,tetraconazol (triazol) 230g.L⁻¹
Eminent 125 EW,,,,tetraconazol (triazol) 125g.L⁻¹
Emzeb 800 WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Energic,,,,
Engeo,,,,tiametoxam (neonicotinóide) 110g.L⁻¹ + cipermetrina (piretróide) 220g.L⁻¹
Engeo Pleno,,,,tiametoxam (neonicotinóide) 141g.L⁻¹ + lambda-cialotrina (piretróide) 106g.L⁻¹
Entrust,,,,espinosade (espinosinas) 800g/kg
Envidor,,,,espirodiclofeno (cetoenol) 240g.L⁻¹
Envoke,,,,trifloxissulfurom-sódico(sulfoniluréia) 750g/kg
Envoy,,,,piraclostrobina (estrobilurina) 85g.L⁻¹ + epoxiconazol (triazol) 62g.L⁻¹
Enxofre Fersol 520 SC,,,,enxofre (inorgânico) 520g.L⁻¹
Epingle 100,,,,piriproxifem (éter piridiloxipropílico) 100g.L⁻¹
Equation,,,,famoxadona (oxazolidinadiona) 225g/kg + cimoxanil (acetamida) 300g/kg
Equip Plus,,,,iodosulfurom-metílico (sulfoniluréia) 20g/kg + foramsulfurom (sulfoniluréia) 300g/kg
Erradicur,,,,tebuconazol (triazol) 200g.L⁻¹
Escudo,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Escudo 500 EC,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Espalhante Adesivo Du Fol,,,,
Espalhante Adesivo Fersol,,,,
Esplanade,,,,indaziflam (não pertinente) 500g.L⁻¹
Estrela 500 SC,,,,
Ethrel,,,,etefom (etileno (precursor de)) 240g.L⁻¹
Ethrel PA,,,,etefom (etileno (precursor de)) 100g/kg
Ethrel 720,,,,etefom (etileno (precursor de)) 720g.L⁻¹
Ethylbloc,,,,metilciclopropeno (cicloalqueno) 1g/kg
Eventra,,,,fipronil (pirazol) 800g/kg
Evict,,,,
Evidence 700 WG,,,,imidacloprido (neonicotinóide) 700g/kg
Evolution,,,,acefato (organofosforado) 970g/kg
Evos,,,,flutriafol (triazol) 250g.L⁻¹ + azoxistrobina (estrobilurina) 250g.L⁻¹
Exalt,,,,Espinetoram (espinosinas) 120g.L⁻¹
Excolha,,,,tebuconazol (triazol) 200g.L⁻¹ + Bacillus thuringiensis (biológico) 400g/kg
Êxito 215 SL,,,,metomil (metilcarbamato de oxima) 215g.L⁻¹
Explorer 500 SC,,,,sulfentrazona (triazolona) 500g.L⁻¹
Extrazin SC,,,,simazina (triazina) 250g.L⁻¹ + atrazina (triazina) 250g.L⁻¹
Extreme,,,,metomil (metilcarbamato de oxima) 215g.L⁻¹
Facca,,,,"picloram (ácido piridinocarboxílico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácido ariloxialcanóico) 406g.L⁻¹"
Facet,,,,quincloraque (ácido quinolinocarboxílico) 500g/kg
Fagot,,,,trifloxistrobina (estrobilurina) 187g.L⁻¹ + ciproconazol (triazol) 80g.L⁻¹
Famoso,,,,"picloram (ácido piridinocarboxílico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácidoariloxialcanóico) 240g.L⁻¹"
Fanavid Flowable,,,,oxicloreto de cobre (inorgânico) 680g.L⁻¹
Fanavid 85,,,,oxicloreto de cobre (inorgânico) 850g/kg
Fason,,,,nicossulfurom (sulfoniluréia) 40g.L⁻¹
Fastac Duo,,,,alfa-cipermetrina (piretróide) 200g.L⁻¹ + acetamiprido (neonicotinóide) 100g.L⁻¹
Fastac 100,,,,alfa-cipermetrina (piretróide) 100g.L⁻¹
Fastac 100 SC,,,,alfa-cipermetrina (piretróide) 100g.L⁻¹
FATORBR,,,,acefato (organofosforado) 750g/kg + acefato (organofosforado) 750g/kg + acefato (organofosforado) 750g/kg
Fazor SL,,,,hidrazida malêica(piridazinadiona) 180g.L⁻¹
Fegatex,,,,cloreto de benzalcônio (amônio quaternário) 100g.L⁻¹
Fenix,,,,
Fenix Star,,,,
Fenix 400 SC,,,,
Fentrol,,,,Gama-cialotrina (piretróide) 60g.L⁻¹
Fera,,,,glifosato (glicina substituída) 480g.L⁻¹
Fera Ultra,,,,glifosato (glicina substituída) 600g.L⁻¹ + carfentrazona-etílica  (triazolona) 12g.L⁻¹
Fermag,,,,
Ferocitrus Furão,,,,(E)-8-dodecenol (álcool insaturado) 99mg/mg
Ferramol,,,,fosfato férrico (inorgânico) 10g/kg
Ferrax,,,,tebuconazol (triazol) 200g.L⁻¹
Fersoil,,,,Oleo Vegetal (ésteres de ácidos graxos) 860g.L⁻¹
Fertox,,,,
Fezan Gold,,,,tebuconazol (triazol) 50g.L⁻¹ + clorotalonil 720 450g.L⁻¹
Field,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Fiera WG,,,,
Finale,"",,,Glufosinato - sal de amônio 200g.L⁻¹
Finex,,,,indoxacarbe (oxadiazina) 300g/kg
Finish,,,,etefom (etileno (precursor de)) 480g.L⁻¹
Fipronil Alta 250 FS,,,,fipronil (pirazol) 250g.L⁻¹
Fipronil Nortox 800 WG,,,,fipronil (pirazol) 800g/kg
Fipronil 800 WG AgriA,,,,fipronil (pirazol) 800g/kg
Fipronova 800,,,,fipronil (pirazol) 800g.L⁻¹
Fist EC,,,,acetocloro (cloroacetanilida) 900g.L⁻¹
Flak 200 SL,,,,Paraquate (bipiridílio) 200g.L⁻¹
Flama,,,,flutriafol (triazol) 125g.L⁻¹
Flamenco,,,,fluquinconazol (triazol) 100g.L⁻¹
Flanker,,,,picloram (ácido piridinocarboxílico) 27g.L⁻¹
Flare,,,,difenoconazol (triazol) 250g.L⁻¹
Flex,,,,fomesafem (éter difenílico) 250g.L⁻¹
Flexin,,,,flutriafol (triazol) 125g.L⁻¹
Flint 500 WG,,,,trifloxistrobina (estrobilurina) 500g/kg
Fluazifop SINON,,,,
Flumyzin 500,,,,flumioxazina (ciclohexenodicarboximida) 500g/kg
Flupro,,,,flumetralina (dinitroanilina) 144g.L⁻¹
Fluramim,,,,sulfluramida (sulfonamida fluoroalifática) 3g/kg
Focus WP,,,,Clotianidina (neonicotinóide) 500g/kg
Folicur EC,,,,tebuconazol (triazol) 250g.L⁻¹
Folicur PM,,,,tebuconazol (triazol) 250g/kg
Folicur 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Folio Gold,,,,metalaxil-M (acilalaninato) 67g/kg + clorotalonil 720 675g/kg
Folisuper 600 BR,,,,parationa-metílica (organofosforado) 600g.L⁻¹
Folpan Agricur 500 WP,,,,folpete (dicarboximida) 500g/kg
Folpan Agricur 800 WG,,,,folpete (dicarboximida) 800g/kg
Folpet Fersol 500 WP,,,,folpete (dicarboximida) 500g/kg
Fordor 750 WG,,,,isoxaflutol (isoxazol) 750g/kg
Fore NT,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Fore NT WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Formicida Granulado Dinagro-S,,,,sulfluramida (sulfonamida fluoroalifática) 3g/kg
Formicida Granulado Pikapau-S,,,,sulfluramida (sulfonamida fluoroalifática) 3g/kg
Fortalezabr,,,,tebutiurom (uréia) 500g.L⁻¹
Fortex SC,,,,MSMA (organoarsênico) 360g.L⁻¹ + diurom (uréia) 140g.L⁻¹
Fortmex-S,,,,sulfluramida (sulfonamida fluoroalifática) 3g/kg
Fortuna 800 WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Forum,,,,dimetomorfe (morfolina) 500g/kg
Forum Plus,,,,dimetomorfe (morfolina) 100g.L⁻¹ + clorotalonil 720 500g.L⁻¹
Fox,,,,trifloxistrobina (estrobilurina) 150g.L⁻¹ + Protioconazol (Triazolinthione) 175g.L⁻¹
Front,,,,sulfometurom-metílico (sulfoniluréia) 14g/kg + hexazinona (triazinona) 170g/kg + diurom (uréia) 603g/kg
Frowncide 500 SC,,,,fluazinam (fenilpiridinilamina) 500g.L⁻¹
Fujimite 50 SC,,,,fenpiroximato (pirazol) 50g.L⁻¹
Fulfill,,,,pimetrozina (piridina azometina) 500g/kg
Full,,,,beta-ciflutrina (piretróide) 50g.L⁻¹
Fungicarb 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Funginil,,,,clorotalonil 720 500g.L⁻¹
Fungitol Azul,,,,oxicloreto de cobre (inorgânico) 588g/kg
Fungitol Verde,,,,oxicloreto de cobre (inorgânico) 840g/kg
Funguran Azul,,,,oxicloreto de cobre (inorgânico) 588g/kg
Funguran Verde,,,,oxicloreto de cobre (inorgânico) 840g/kg
Furacarb 100 GR,,,,carbofurano (metilcarbamato de benzofuranila) 100g/kg
Furacarb 100 GR,,,,carbofurano (metilcarbamato de benzofuranila) 100g/kg
Furadan 100 G,,,,carbofurano (metilcarbamato de benzofuranila) 100g/kg
Furadan 100 G,,,,carbofurano (metilcarbamato de benzofuranila) 100g/kg
Furadan 350 SC,,,,carbofurano (metilcarbamato de benzofuranila) 350g.L⁻¹
Furadan 350 SC,,,,carbofurano (metilcarbamato de benzofuranila) 350g.L⁻¹
Furadan 50 GR,,,,carbofurano (metilcarbamato de benzofuranila) 50g/kg
Furadan 50 GR,,,,carbofurano (metilcarbamato de benzofuranila) 50g/kg
Furazin 310 FS,,,,carbofurano (metilcarbamato de benzofuranila) 310g.L⁻¹
Furazin 310 FS,,,,carbofurano (metilcarbamato de benzofuranila) 310g.L⁻¹
Fury 180 EW,,,,zeta-cipermetrina (piretróide) 180g.L⁻¹
Fury 180 EW,,,,zeta-cipermetrina (piretróide) 180g.L⁻¹
Fury 200 EW,,,,zeta-cipermetrina (piretróide) 200g.L⁻¹
Fury 200 EW,,,,zeta-cipermetrina (piretróide) 200g.L⁻¹
Fury 400 EC,,,,zeta-cipermetrina (piretróide) 400g.L⁻¹
Fury 400 EC,,,,zeta-cipermetrina (piretróide) 400g.L⁻¹
Fusiflex,,,,fomesafem (éter difenílico) 125g.L⁻¹
Fusilade 250 EW,,,,
Fusta WG,,,,glifosato-sal de amônio (glicina substituída) 792g.L⁻¹
Futur 300,,,,tiodicarbe (metilcarbamato de oxima) 300g.L⁻¹
Gachon,,,,
Galben-M,,,,mancozebe (alquilenobis(ditiocarbamato)) 650g/kg + benalaxil (acilalaninato) 80g/kg
Galeão,,,,imidacloprido (neonicotinóide) 700g/kg
Galgoper,,,,permetrina (piretróide) 384g.L⁻¹
Galgoperme 1,,,,permetrina (piretróide) 384g.L⁻¹
Galgoperme 2,,,,permetrina (piretróide) 384g.L⁻¹
Galgoperme 3,,,,permetrina (piretróide) 384g.L⁻¹
Galgotrin,,,,cipermetrina (piretróide) 250g.L⁻¹
Galigan 240 EC,,,,oxifluorfem (éter difenílico) 240g.L⁻¹
Galigan 240 F,,,,oxifluorfem (éter difenílico) 240g.L⁻¹
Galil SC,,,,imidacloprido (neonicotinóide) 250g.L⁻¹ + bifentrina (piretróide) 50g.L⁻¹
Galileo Excell,,,,tetraconazol (triazol) 80g.L⁻¹ + azoxistrobina (estrobilurina) 100g.L⁻¹
Gallant R,,,,
Gallaxy 100 EC,,,,novalurom (benzoiluréia) 100g.L⁻¹
